loss,val_loss,recon_loss,recon_loss_source,recon_loss_target
48.768317044412164,12.787469249126339,48.768317044412164,48.739485241222425,47.88500953872688
11.729960526292137,11.469789363135977,11.729960526292137,11.724051372389392,11.585369174621976
10.813160297676434,11.271254413384051,10.813160297676434,10.805262919345651,10.840321492995198
10.473359082077595,10.898016748349528,10.473359082077595,10.464015364262897,10.702912195234655
10.265708742962419,10.870317632501775,10.265708742962419,10.255639752538535,10.518145933383849
10.119201625485163,10.560920983306632,10.119201625485163,10.10858164215439,10.413934647515793
10.027446068326174,10.455977636920519,10.027446068326174,10.016473108318836,10.340072627008318
9.948167491057914,10.43037007071755,9.948167491057914,9.937066355554727,10.260062078589181
9.898948098457852,10.332388176405725,9.898948098457852,9.887714896836261,10.227218730187449
9.854331584005273,10.353811342854145,9.854331584005273,9.843015927956833,10.208152523251432
9.821244811221744,10.284643906207124,9.821244811221744,9.809841109046287,10.239355564117432
9.790606947248014,10.274772147501796,9.790606947248014,9.779286413109363,10.095527757108348
9.766107197571502,10.229875194139717,9.766107197571502,9.754781463647625,10.200416275503665
9.745662990715775,10.356377790782076,9.745662990715775,9.734418690835502,10.145399616327474
9.725774648712903,10.224501617683853,9.725774648712903,9.714478403645291,10.088163194160444
9.709100709222618,10.216564903574541,9.709100709222618,9.697900783944338,10.11297118735105
9.690406325331933,10.183719272455892,9.690406325331933,9.679265045099307,10.069669735140916
9.677651594928262,10.197846467829933,9.677651594928262,9.666466226239825,10.015860627337199
9.667864382568725,10.299372097677436,9.667864382568725,9.656718745189936,10.15240583691902
9.650747556374801,10.229774861296347,9.650747556374801,9.639619501186745,10.02796652917208
9.643236176516677,10.20813886784325,9.643236176516677,9.632150590776355,10.050888679458751
9.63562319808658,10.19875794402824,9.63562319808658,9.624576217503906,10.006801553437416
9.622616978981942,10.165175768954695,9.622616978981942,9.611586352180238,10.01846006703278
9.61185106241478,10.129631759706607,9.61185106241478,9.600820779251823,9.945308216584754
9.604769510549167,10.09025053544478,9.604769510549167,9.59372635651337,10.014204045456783
9.600559185465196,10.107140257338846,9.600559185465196,9.589546545935402,10.044642310179821
9.589179438377272,10.144293257027618,9.589179438377272,9.578307317689,9.961201419163233
9.584849573970116,10.094295359840078,9.584849573970116,9.573732957607362,10.009457399918634
9.579239420006475,10.127248787682904,9.579239420006475,9.56843187882502,9.922493501681641
9.569194861287848,10.104156706943986,9.569194861287848,9.558333087066215,9.911524477281496
9.564978276975573,10.107895118145903,9.564978276975573,9.554246453497194,9.88560005755014
9.559250737684858,10.124145499930894,9.559250737684858,9.548528344303136,9.887471036432638
9.554779761955588,10.078117165683715,9.554779761955588,9.544025937259006,9.863762105493242
9.549995244180229,10.095403143197052,9.549995244180229,9.539319474193505,9.833524999561476
9.545584708493369,10.042671038099558,9.545584708493369,9.534859291705128,9.84146462044187
9.543168566054701,10.149675503249997,9.543168566054701,9.53245630716323,9.919753463488814
9.535288006711873,10.075912420414696,9.535288006711873,9.524614368777533,9.972805695110239
9.534390043126127,10.117963751485526,9.534390043126127,9.523724201358633,9.928095816249295
9.529202977797977,10.041369209604815,9.529202977797977,9.518563498783594,9.834425211062477
9.524277125752253,10.067174233680914,9.524277125752253,9.513620731636395,9.799517365572807
9.520670853503772,10.112652975665636,9.520670853503772,9.509954129064132,9.896665638073545
9.516626588441346,10.049782012119767,9.516626588441346,9.50597331516215,9.890875319978141
9.514579638214743,10.061444195834072,9.514579638214743,9.503898203674682,9.914941104172673
9.512601714610396,10.065109245048081,9.512601714610396,9.502037140064617,9.827533890012766
9.506210663765188,10.163262887434525,9.506210663765188,9.495559659467224,9.86541170180804
9.503451371928048,10.070419240588985,9.503451371928048,9.492855988391467,9.808420640337154
9.502148193749095,10.037142753601074,9.502148193749095,9.491558425611908,9.886742261385402
9.497376074178725,10.098191032724932,9.497376074178725,9.486711620571313,9.920806559340173
9.495670358979972,10.069474638000992,9.495670358979972,9.485050957596801,9.885831525673582
9.492812309405577,10.076450245439514,9.492812309405577,9.48217235552897,9.86650115665729
9.489537434373865,10.042229660286392,9.489537434373865,9.478872419445953,9.866087310499603
9.48521738846731,10.014670466588548,9.48521738846731,9.474522861861656,9.874960859415447
9.48185185688298,10.048539910434691,9.48185185688298,9.47121079484823,9.769952894299468
9.48437969815166,10.046699287477603,9.48437969815166,9.473646058171672,9.806623346729866
9.47863666264077,10.125687410023588,9.47863666264077,9.467977123550154,9.789109924560421
9.477326129802734,10.054810058972068,9.477326129802734,9.466565802302494,9.850431764394635
9.474428779015714,10.057412179048397,9.474428779015714,9.463804198474419,9.846707149633767
9.471554003933635,10.022593427295527,9.471554003933635,9.460834043233339,9.790580321609069
9.46798938921504,10.026939502432327,9.46798938921504,9.45734163346622,9.738859919211418
9.466532510159698,10.036963100275717,9.466532510159698,9.455879989550292,9.795000448898406
9.460797006174325,10.038922301993882,9.460797006174325,9.45013732313287,9.736313557438296
9.462453763165673,10.113972514128882,9.462453763165673,9.451771272693534,9.813076656313465
9.458244070499875,10.044801049981235,9.458244070499875,9.447578788736259,9.842822244734574
9.459522548382369,9.996743139156626,9.459522548382369,9.448842339618821,9.783689045763433
9.455054056243966,10.026612849274942,9.455054056243966,9.444372936815805,9.81249552260222
